OTRN_ID,OTRN_PYRAID,OTRN_PYEAID,OTRN_TRNTYP,OTRN_TRNAMT,OTRN_TRNDAT
3000041,100014,200097,INFLOW,2854.51,2025-01-05
3000042,100077,200005,INFLOW,5229.07,2024-08-21
3000043,100019,200005,INFLOW,3431.77,2025-09-11
3000044,100071,200016,OUTFLOW,640.03,2025-09-21
3000045,100031,200089,OUTFLOW,14427.55,2025-11-03
3000046,100008,200044,INFLOW,3692.63,2026-05-15
3000047,100023,200054,OUTFLOW,12210.51,2025-06-09
3000048,100051,200073,INFLOW,3620.8,2026-04-01
3000049,100069,200063,OUTFLOW,1070.73,2025-01-10
3000050,100048,200066,INFLOW,4096.18,2025-11-05
3000051,100027,200075,INFLOW,3925.2,2026-02-27
3000052,100014,200045,OUTFLOW,2392.01,2026-05-09
3000053,100094,200076,INFLOW,10148.93,2026-02-01
3000054,100049,200085,OUTFLOW,5937.07,2026-01-15
3000055,100096,200100,OUTFLOW,9434.7,2024-10-18
3000056,100076,200049,OUTFLOW,6241.47,2026-04-09
3000057,100028,200083,OUTFLOW,7483.53,2025-07-12
3000058,100025,200011,INFLOW,7352.14,2025-09-02
3000059,100090,200097,OUTFLOW,675.33,2025-01-24
3000060,100090,200008,OUTFLOW,9529.07,2025-08-03
3000061,100002,200074,INFLOW,9163.7,2024-08-27
3000062,100026,200041,INFLOW,14330.18,2026-01-21
3000063,100027,200001,INFLOW,3152.74,2025-10-30
3000064,100075,200016,OUTFLOW,11716.23,2025-06-22
3000065,100049,200098,OUTFLOW,12785.9,2025-11-12
3000066,100011,200051,OUTFLOW,4686.32,2025-05-02
3000067,100071,200078,INFLOW,3263.3,2025-05-14
3000068,100061,200005,OUTFLOW,7998.99,2026-04-14
3000069,100095,200044,INFLOW,2295.15,2026-04-24
3000070,100003,200076,INFLOW,8478.19,2024-07-05
3000071,100061,200047,INFLOW,9323.59,2024-10-10
3000072,100075,200070,OUTFLOW,1411.8,2024-07-27
3000073,100058,200062,INFLOW,9160.45,2025-01-31
3000074,100010,200071,OUTFLOW,1608.05,2025-12-09
3000075,100013,200063,OUTFLOW,13998.41,2024-10-21
3000076,100098,200046,OUTFLOW,5115.23,2025-01-01
3000077,100079,200072,OUTFLOW,5826.85,2024-08-21
3000078,100008,200093,INFLOW,4445.09,2024-12-07
3000079,100050,200025,INFLOW,4713.68,2025-08-26
3000080,100027,200066,OUTFLOW,9802.69,2024-08-04
3000081,100007,200045,INFLOW,2093.75,2025-03-18
3000082,100034,200076,INFLOW,1708.01,2025-06-23
3000083,100061,200049,OUTFLOW,12090.27,2025-06-26
3000084,100005,200097,INFLOW,13347.23,2025-05-18
3000085,100001,200091,INFLOW,1920.24,2026-08-13
3000086,100013,200059,OUTFLOW,11886.87,2026-05-31
3000087,100094,200061,INFLOW,1688.22,2025-01-29
3000088,100067,200069,INFLOW,7328.26,2024-09-02
3000089,100053,200028,INFLOW,2230.19,2024-10-07
3000090,100065,200063,OUTFLOW,8611.93,2026-05-03
3000091,100085,200059,INFLOW,6800.83,2026-07-30
3000092,100014,200094,OUTFLOW,13275.69,2024-10-08
3000093,100005,200026,INFLOW,5553.32,2026-01-27
3000094,100048,200052,INFLOW,4323.46,2025-04-30
3000095,100049,200033,OUTFLOW,8684.78,2026-04-04
3000096,100071,200009,OUTFLOW,4443.17,2024-07-18
3000097,100083,200096,OUTFLOW,13331.89,2026-01-04
3000098,100010,200100,OUTFLOW,7450.2,2026-07-06
3000099,100029,200002,INFLOW,8593.98,2025-11-11
3000100,100022,200089,INFLOW,2506.66,2026-03-07
3000101,100017,200030,OUTFLOW,7067.81,2025-08-28
3000102,100082,200082,INFLOW,5205.79,2025-05-06
3000103,100019,200096,OUTFLOW,13128.35,2024-09-26
3000104,100071,200073,OUTFLOW,2380.08,2025-05-15
3000105,100020,200048,INFLOW,5305.09,2026-02-03
3000106,100076,200086,OUTFLOW,9571.61,2026-05-12
3000107,100030,200045,OUTFLOW,13429.16,2024-12-21
3000108,100020,200008,OUTFLOW,4410.54,2026-01-22
3000109,100077,200100,OUTFLOW,13120.65,2025-01-25
3000110,100002,200060,INFLOW,12986.8,2024-11-06
3000111,100094,200082,OUTFLOW,13172.35,2024-08-19
3000112,100060,200017,OUTFLOW,1998.7,2026-02-01
3000113,100027,200067,OUTFLOW,11672.27,2025-11-08
3000114,100062,200045,OUTFLOW,2655.42,2025-09-02
3000115,100096,200040,OUTFLOW,6352.06,2026-01-08
3000116,100074,200007,OUTFLOW,4693.78,2024-08-22
3000117,100022,200085,OUTFLOW,14763.89,2024-09-16
3000118,100056,200100,INFLOW,2656.51,2026-01-11
3000119,100070,200063,OUTFLOW,7338.6,2026-03-24
3000120,100055,200066,OUTFLOW,7924.31,2026-08-08
3000121,100024,200023,INFLOW,2197.0,2024-12-18
3000122,100093,200056,INFLOW,7729.76,2024-07-13
3000123,100097,200016,OUTFLOW,10566.76,2026-07-26
3000124,100012,200014,OUTFLOW,2118.03,2026-01-07
3000125,100027,200096,INFLOW,1734.49,2025-08-11
3000126,100081,200006,INFLOW,5646.54,2024-10-06
3000127,100033,200053,OUTFLOW,5959.87,2025-10-06
3000128,100022,200097,OUTFLOW,11729.8,2026-05-25
3000129,100045,200014,OUTFLOW,12974.59,2026-08-09
3000130,100039,200016,OUTFLOW,4793.23,2024-12-07
3000131,100072,200058,INFLOW,504.36,2026-03-13
3000132,100098,200074,INFLOW,7894.7,2026-02-05
3000133,100019,200025,OUTFLOW,12213.7,2025-05-07
3000134,100040,200042,INFLOW,8333.39,2026-07-22
3000135,100013,200017,INFLOW,1594.81,2025-05-02
3000136,100074,200005,INFLOW,10503.88,2025-09-29
3000137,100051,200055,INFLOW,1430.11,2025-08-21
3000138,100072,200033,OUTFLOW,3846.32,2025-08-23
3000139,100004,200024,OUTFLOW,3079.79,2024-07-07
3000140,100043,200032,INFLOW,13625.37,2026-06-11
3000141,100016,200040,INFLOW,14138.76,2025-03-10
3000142,100048,200061,INFLOW,7145.4,2025-08-25
3000143,100041,200060,OUTFLOW,2783.11,2025-11-25
3000144,100066,200003,OUTFLOW,12366.58,2025-08-24
3000145,100036,200046,OUTFLOW,12591.58,2024-07-23
3000146,100074,200069,OUTFLOW,11397.64,2024-08-10
3000147,100008,200082,OUTFLOW,898.6,2025-11-01
3000148,100037,200083,OUTFLOW,13182.25,2025-09-17
3000149,100043,200048,OUTFLOW,6835.31,2025-01-08
3000150,100057,200098,INFLOW,10321.3,2024-11-18
3000151,100070,200058,OUTFLOW,14332.09,2024-08-14
3000152,100079,200041,OUTFLOW,10337.55,2025-07-29
3000153,100021,200091,OUTFLOW,3080.66,2026-07-19
3000154,100022,200001,INFLOW,2992.84,2025-07-18
3000155,100060,200062,INFLOW,5352.31,2026-05-31
3000156,100088,200019,OUTFLOW,13825.32,2026-06-20
3000157,100010,200002,INFLOW,3077.52,2025-07-14
3000158,100028,200094,INFLOW,12159.79,2025-12-29
3000159,100024,200082,OUTFLOW,9826.7,2024-07-01
3000160,100035,200041,OUTFLOW,1537.19,2026-02-17
3000161,100018,200091,INFLOW,1395.9,2026-05-14
3000162,100063,200015,OUTFLOW,12978.78,2026-01-23
3000163,100093,200001,OUTFLOW,3518.67,2025-05-23
3000164,100096,200011,OUTFLOW,711.85,2025-06-22
3000165,100097,200091,OUTFLOW,12248.43,2025-01-31
3000166,100037,200012,OUTFLOW,10756.14,2025-02-20
3000167,100087,200051,OUTFLOW,5022.83,2025-10-05
3000168,100059,200080,OUTFLOW,4360.48,2025-12-24
3000169,100067,200095,OUTFLOW,7196.9,2025-01-23
3000170,100058,200050,OUTFLOW,10607.45,2024-09-01
3000171,100026,200020,INFLOW,11018.38,2026-05-31
3000172,100047,200029,OUTFLOW,13431.82,2024-12-30
3000173,100096,200026,INFLOW,7245.63,2025-01-13
3000174,100081,200029,INFLOW,10777.3,2025-04-24
3000175,100022,200053,OUTFLOW,11670.71,2025-05-25
3000176,100006,200006,INFLOW,7880.3,2025-07-24
3000177,100009,200044,INFLOW,9331.28,2025-09-06
3000178,100081,200036,OUTFLOW,9798.28,2025-05-11
3000179,100076,200046,INFLOW,1875.27,2025-07-17
3000180,100080,200096,INFLOW,4492.18,2024-10-18
3000181,100034,200057,INFLOW,5667.0,2025-02-16
3000182,100021,200025,INFLOW,3610.72,2025-09-12
3000183,100053,200010,INFLOW,7317.61,2025-05-29
3000184,100043,200011,OUTFLOW,3083.44,2026-04-16
3000185,100081,200040,OUTFLOW,5148.18,2024-11-27
3000186,100095,200086,INFLOW,8985.89,2026-02-23
3000187,100028,200077,INFLOW,816.6,2025-02-14
3000188,100093,200086,INFLOW,3290.26,2024-07-03
3000189,100049,200010,INFLOW,13222.78,2024-07-21
3000190,100002,200039,INFLOW,2248.53,2026-03-17
3000191,100009,200081,INFLOW,8107.82,2025-05-14
3000192,100098,200094,INFLOW,3331.85,2024-08-10
3000193,100078,200012,OUTFLOW,13257.49,2026-03-07
3000194,100098,200001,INFLOW,7958.2,2025-10-22
3000195,100025,200100,INFLOW,10268.33,2025-04-03
3000196,100076,200043,INFLOW,14983.6,2025-09-11
3000197,100045,200056,OUTFLOW,14555.38,2026-02-10
3000198,100057,200045,INFLOW,4617.07,2026-04-21
3000199,100086,200053,OUTFLOW,6854.79,2026-03-20
3000200,100030,200012,OUTFLOW,11178.54,2025-05-25
3000201,100046,200078,OUTFLOW,1812.95,2025-04-20
3000202,100053,200073,OUTFLOW,3209.19,2025-05-31
3000203,100079,200073,INFLOW,11005.77,2026-05-18
3000204,100080,200091,OUTFLOW,6656.73,2025-11-10
3000205,100082,200074,OUTFLOW,5411.5,2025-04-08
3000206,100051,200045,OUTFLOW,998.46,2026-05-29
3000207,100085,200082,INFLOW,10361.42,2026-01-04
3000208,100069,200015,INFLOW,1771.33,2025-06-04
3000209,100003,200008,OUTFLOW,10069.75,2026-03-28
3000210,100028,200031,OUTFLOW,5908.49,2025-03-10
3000211,100080,200049,INFLOW,5772.92,2024-12-17
3000212,100064,200031,INFLOW,4583.97,2024-09-10
3000213,100055,200090,INFLOW,2395.06,2025-10-28
3000214,100084,200079,INFLOW,3933.93,2026-05-07
3000215,100022,200097,INFLOW,11160.29,2026-02-19
3000216,100020,200037,OUTFLOW,2004.34,2025-12-04
3000217,100090,200023,INFLOW,1651.3,2024-11-16
3000218,100071,200014,OUTFLOW,7387.76,2024-08-25
3000219,100052,200004,INFLOW,2947.0,2024-08-30
3000220,100098,200092,INFLOW,8479.1,2026-05-02
3000221,100062,200025,INFLOW,14231.51,2024-10-05
3000222,100089,200009,INFLOW,5035.67,2025-02-05
3000223,100051,200039,INFLOW,795.61,2025-05-10
3000224,100031,200067,OUTFLOW,10149.14,2026-01-09
3000225,100080,200019,OUTFLOW,6408.82,2025-07-17
3000226,100076,200022,INFLOW,14947.71,2025-01-30
3000227,100063,200052,INFLOW,5643.29,2026-03-14
3000228,100017,200075,OUTFLOW,8553.9,2024-12-26
3000229,100039,200068,INFLOW,572.44,2025-06-23
3000230,100044,200011,OUTFLOW,6969.98,2025-11-14
3000231,100029,200010,INFLOW,5579.93,2024-10-21
3000232,100049,200031,OUTFLOW,12296.91,2026-07-30
3000233,100046,200078,INFLOW,8056.85,2026-04-04
3000234,100094,200078,INFLOW,8352.16,2025-06-05
3000235,100008,200080,OUTFLOW,9782.63,2024-12-12
3000236,100007,200033,INFLOW,1086.85,2024-09-12
3000237,100042,200019,OUTFLOW,522.6,2025-03-06
3000238,100013,200009,OUTFLOW,9878.73,2025-08-03
3000239,100013,200007,INFLOW,11288.92,2025-04-18
3000240,100019,200071,OUTFLOW,9864.72,2025-05-24
3000241,100013,200020,OUTFLOW,6748.75,2025-04-16
3000242,100062,200042,INFLOW,14699.02,2025-11-21
3000243,100076,200008,INFLOW,8221.47,2026-03-11
3000244,100080,200078,INFLOW,4964.36,2026-03-18
3000245,100078,200071,OUTFLOW,10655.14,2025-03-27
3000246,100097,200075,OUTFLOW,9684.6,2025-11-25
3000247,100099,200026,INFLOW,508.84,2025-11-10
3000248,100015,200058,INFLOW,11918.55,2026-01-18
3000249,100065,200059,OUTFLOW,9840.03,2025-01-28
3000250,100074,200018,OUTFLOW,7375.28,2025-03-02
3000251,100040,200028,INFLOW,3783.61,2024-12-31
3000252,100048,200043,OUTFLOW,10688.89,2026-06-23
3000253,100090,200026,OUTFLOW,11544.92,2025-10-11
3000254,100062,200056,OUTFLOW,6759.18,2025-10-26
3000255,100008,200064,OUTFLOW,5054.65,2026-07-19
3000256,100060,200026,INFLOW,12278.89,2025-12-01
3000257,100036,200055,INFLOW,14210.7,2025-09-08
3000258,100056,200040,INFLOW,11411.34,2025-03-16
3000259,100015,200073,INFLOW,11039.42,2025-04-13
3000260,100042,200041,OUTFLOW,11244.22,2025-04-23
3000261,100008,200008,INFLOW,6787.52,2025-05-16
3000262,100097,200011,INFLOW,10429.29,2026-01-22
3000263,100029,200059,OUTFLOW,1762.55,2024-07-03
3000264,100088,200059,OUTFLOW,13182.01,2026-04-01
3000265,100055,200005,OUTFLOW,13398.5,2026-04-29
3000266,100016,200095,INFLOW,3899.33,2024-07-30
3000267,100064,200016,OUTFLOW,7739.8,2024-09-17
3000268,100083,200045,INFLOW,11902.38,2026-02-07
3000269,100036,200041,OUTFLOW,1853.95,2026-01-03
3000270,100078,200091,INFLOW,7240.97,2025-01-18
3000271,100097,200040,OUTFLOW,6975.1,2026-03-16
3000272,100052,200032,OUTFLOW,2814.15,2026-02-20
3000273,100045,200092,INFLOW,9720.28,2025-04-12
3000274,100069,200003,INFLOW,13004.41,2025-07-15
3000275,100036,200080,OUTFLOW,4382.75,2025-02-13
3000276,100046,200040,OUTFLOW,14480.58,2026-07-01
3000277,100046,200100,OUTFLOW,3815.22,2025-12-31
3000278,100015,200012,INFLOW,13853.49,2025-03-06
3000279,100081,200056,INFLOW,6206.27,2024-07-18
3000280,100091,200048,OUTFLOW,4456.79,2024-11-09
3000281,100023,200081,OUTFLOW,14690.98,2026-01-04
3000282,100028,200084,OUTFLOW,11105.14,2025-02-26
3000283,100079,200089,OUTFLOW,11720.51,2026-05-12
3000284,100089,200068,INFLOW,9082.91,2025-06-23
3000285,100014,200043,INFLOW,14388.68,2025-07-30
3000286,100056,200049,OUTFLOW,8130.6,2025-03-02
3000287,100042,200013,OUTFLOW,10301.52,2024-09-23
3000288,100001,200007,OUTFLOW,4965.6,2026-05-19
3000289,100051,200020,OUTFLOW,5709.36,2024-07-14
3000290,100037,200079,INFLOW,6867.81,2025-01-17
3000291,100037,200038,OUTFLOW,5100.08,2025-06-18
3000292,100008,200065,OUTFLOW,6853.51,2025-03-29
3000293,100074,200053,OUTFLOW,4254.17,2025-01-08
3000294,100061,200035,OUTFLOW,2070.16,2025-01-31
3000295,100088,200022,OUTFLOW,13680.14,2025-05-20
3000296,100064,200086,INFLOW,6733.36,2025-03-29
3000297,100093,200016,OUTFLOW,2093.92,2025-06-12
3000298,100008,200080,INFLOW,6373.56,2025-07-22
3000299,100078,200093,INFLOW,6088.23,2024-08-26
3000300,100076,200019,OUTFLOW,6669.67,2026-02-07
3000301,100034,200075,INFLOW,835.91,2025-08-05
3000302,100077,200049,OUTFLOW,2719.53,2025-06-30
3000303,100014,200087,INFLOW,8421.88,2026-03-17
3000304,100081,200100,OUTFLOW,1942.53,2024-12-06
3000305,100091,200027,OUTFLOW,1035.81,2025-02-13
3000306,100071,200078,INFLOW,1271.51,2025-04-05
3000307,100075,200051,INFLOW,1543.51,2025-04-21
3000308,100081,200099,INFLOW,2513.27,2025-06-29
3000309,100087,200041,OUTFLOW,6892.74,2025-03-17
3000310,100027,200080,INFLOW,14380.1,2026-02-10
3000311,100071,200069,OUTFLOW,5906.81,2025-03-26
3000312,100014,200040,INFLOW,8785.6,2024-08-02
3000313,100012,200048,OUTFLOW,1280.11,2026-03-06
3000314,100092,200014,OUTFLOW,12563.44,2024-11-28
3000315,100010,200070,INFLOW,5025.53,2025-04-11
3000316,100033,200091,INFLOW,10846.26,2026-07-03
3000317,100056,200058,INFLOW,9366.03,2026-02-04
3000318,100043,200093,INFLOW,1589.1,2024-07-01
3000319,100084,200084,INFLOW,1124.5,2024-11-11
3000320,100041,200054,OUTFLOW,10929.52,2025-05-07
3000321,100052,200026,INFLOW,3446.19,2025-10-11
3000322,100077,200013,INFLOW,1988.69,2025-03-24
3000323,100098,200033,OUTFLOW,11681.83,2025-04-11
3000324,100072,200033,OUTFLOW,4320.36,2024-12-08
3000325,100048,200094,OUTFLOW,11068.68,2026-07-12
3000326,100020,200029,OUTFLOW,3251.74,2024-12-02
3000327,100099,200051,OUTFLOW,12868.26,2025-06-15
3000328,100039,200034,OUTFLOW,3690.21,2026-02-26
3000329,100031,200088,INFLOW,1813.21,2026-03-05
3000330,100079,200060,OUTFLOW,6754.71,2025-12-23
3000331,100058,200090,INFLOW,1626.32,2024-09-16
3000332,100071,200076,OUTFLOW,9463.73,2026-01-23
3000333,100055,200005,OUTFLOW,13858.92,2025-12-21
3000334,100007,200080,OUTFLOW,10290.98,2025-03-02
3000335,100044,200007,INFLOW,10977.47,2026-07-01
3000336,100072,200041,INFLOW,10928.19,2025-09-03
3000337,100018,200079,INFLOW,722.93,2024-10-23
3000338,100066,200022,OUTFLOW,8758.03,2026-07-26
3000339,100038,200062,INFLOW,2171.26,2025-07-02
3000340,100081,200033,OUTFLOW,4983.62,2024-09-16
3000341,100012,200035,INFLOW,1008.04,2026-01-20
3000342,100026,200021,OUTFLOW,9917.91,2026-03-04
3000343,100054,200047,OUTFLOW,10745.13,2024-11-28
3000344,100011,200081,OUTFLOW,4905.81,2025-12-27
3000345,100067,200034,INFLOW,9390.03,2025-12-19
3000346,100038,200001,OUTFLOW,650.39,2025-11-28
3000347,100025,200073,INFLOW,761.99,2025-08-27
3000348,100078,200009,INFLOW,12076.83,2025-03-28
3000349,100013,200023,OUTFLOW,12372.48,2026-06-14
3000350,100012,200081,INFLOW,7796.94,2025-03-29
3000351,100075,200010,OUTFLOW,14087.04,2024-10-29
3000352,100062,200067,OUTFLOW,3140.04,2026-04-17
3000353,100056,200042,OUTFLOW,8776.42,2024-11-03
3000354,100015,200085,INFLOW,10306.23,2025-12-26
3000355,100008,200015,OUTFLOW,8868.18,2025-05-26
3000356,100043,200089,INFLOW,4165.37,2026-05-24
3000357,100060,200035,OUTFLOW,7460.25,2025-07-30
3000358,100097,200092,INFLOW,9624.07,2025-09-17
3000359,100023,200033,OUTFLOW,8182.65,2024-12-31
3000360,100094,200001,OUTFLOW,1787.12,2025-03-07
3000361,100052,200015,INFLOW,13018.47,2026-04-29
3000362,100067,200051,INFLOW,8025.45,2026-05-05
3000363,100046,200071,INFLOW,5003.38,2025-01-17
3000364,100066,200017,OUTFLOW,2723.17,2025-10-15
3000365,100045,200037,OUTFLOW,11632.66,2025-08-16
3000366,100043,200010,INFLOW,7043.58,2025-01-17
3000367,100066,200056,OUTFLOW,8233.23,2026-02-21
3000368,100034,200085,INFLOW,6948.74,2025-08-09
3000369,100005,200010,INFLOW,14740.74,2025-05-01
3000370,100015,200032,OUTFLOW,609.59,2025-11-13
3000371,100075,200059,OUTFLOW,9123.18,2024-12-15
3000372,100069,200050,INFLOW,7537.08,2024-07-02
3000373,100042,200033,INFLOW,9372.72,2025-09-23
3000374,100075,200043,INFLOW,7314.17,2025-11-01
3000375,100059,200045,OUTFLOW,4252.55,2025-03-10
3000376,100049,200025,OUTFLOW,12907.26,2026-02-05
3000377,100053,200041,OUTFLOW,4407.32,2025-10-27
3000378,100017,200073,INFLOW,6313.73,2025-12-28
3000379,100080,200036,INFLOW,8428.75,2025-04-01
3000380,100015,200096,INFLOW,1121.01,2025-10-16
3000381,100002,200005,OUTFLOW,8233.38,2025-04-27
3000382,100079,200061,INFLOW,10091.79,2024-08-24
3000383,100085,200086,OUTFLOW,12276.22,2026-01-04
3000384,100031,200085,OUTFLOW,3805.8,2026-04-16
3000385,100011,200096,INFLOW,11438.9,2024-08-12
3000386,100043,200072,OUTFLOW,6883.02,2025-02-14
3000387,100097,200061,INFLOW,6660.07,2024-11-24
3000388,100003,200047,INFLOW,10928.53,2026-05-16
3000389,100032,200064,OUTFLOW,6559.61,2026-06-27
3000390,100063,200092,INFLOW,5989.59,2026-02-18
3000391,100036,200059,OUTFLOW,7032.29,2025-05-07
3000392,100075,200085,OUTFLOW,6779.85,2025-11-25
3000393,100031,200056,INFLOW,1381.07,2025-04-22
3000394,100090,200089,INFLOW,13854.95,2026-06-08
3000395,100032,200080,OUTFLOW,1731.04,2024-10-20
3000396,100073,200065,INFLOW,1571.57,2025-09-13
3000397,100065,200005,INFLOW,1355.49,2026-06-19
3000398,100005,200026,OUTFLOW,8220.8,2025-09-03
3000399,100013,200050,OUTFLOW,10790.87,2024-11-14
3000400,100076,200037,INFLOW,6028.73,2025-10-10
3000401,100012,200087,OUTFLOW,11555.32,2025-09-14
3000402,100005,200085,OUTFLOW,5460.27,2025-02-02
3000403,100080,200085,INFLOW,13922.29,2025-11-05
3000404,100043,200018,OUTFLOW,5790.74,2025-03-13
3000405,100003,200069,INFLOW,8983.67,2024-10-07
3000406,100087,200018,OUTFLOW,12648.89,2025-09-07
3000407,100074,200093,OUTFLOW,1882.13,2026-04-02
3000408,100005,200049,OUTFLOW,6647.32,2025-10-12
3000409,100023,200083,OUTFLOW,7775.54,2025-08-27
3000410,100078,200005,INFLOW,9458.73,2024-08-24
3000411,100056,200087,OUTFLOW,12514.63,2025-12-20
3000412,100023,200023,INFLOW,847.06,2026-05-03
3000413,100060,200046,OUTFLOW,9390.15,2025-08-26
3000414,100089,200062,INFLOW,1307.87,2025-05-04
3000415,100053,200065,OUTFLOW,6358.89,2025-08-10
3000416,100025,200084,OUTFLOW,12270.78,2024-10-04
3000417,100026,200098,INFLOW,11870.66,2025-12-27
3000418,100051,200044,OUTFLOW,3104.14,2025-11-16
3000419,100050,200059,INFLOW,12170.17,2025-12-24
3000420,100036,200100,INFLOW,7076.05,2025-11-01
3000421,100076,200033,INFLOW,4438.51,2024-07-01
3000422,100078,200022,OUTFLOW,10602.31,2025-11-27
3000423,100003,200036,INFLOW,2365.87,2026-07-31
3000424,100100,200067,INFLOW,5554.08,2026-01-29
3000425,100011,200088,OUTFLOW,5077.99,2026-01-04
3000426,100090,200070,OUTFLOW,3476.71,2025-02-04
3000427,100086,200015,INFLOW,11082.13,2026-05-06
3000428,100025,200035,OUTFLOW,7551.84,2025-11-26
3000429,100020,200083,OUTFLOW,14330.1,2026-06-11
3000430,100097,200020,INFLOW,9763.51,2025-09-11
3000431,100032,200023,OUTFLOW,8277.29,2026-02-19
3000432,100088,200065,OUTFLOW,8667.23,2024-08-06
3000433,100049,200062,OUTFLOW,4689.1,2025-10-04
3000434,100014,200093,OUTFLOW,14311.83,2024-11-13
3000435,100092,200065,INFLOW,14824.71,2026-02-11
3000436,100016,200028,OUTFLOW,6467.32,2024-07-11
3000437,100083,200011,INFLOW,776.76,2024-12-20
3000438,100034,200024,OUTFLOW,4492.16,2025-12-12
3000439,100081,200092,INFLOW,14397.41,2025-08-25
3000440,100048,200072,INFLOW,11795.39,2024-11-19
3000441,100056,200048,OUTFLOW,1450.14,2025-02-13
3000442,100027,200031,OUTFLOW,4422.43,2025-02-10
3000443,100023,200065,OUTFLOW,3271.19,2025-04-21
3000444,100072,200070,OUTFLOW,13721.98,2026-03-20
3000445,100066,200051,OUTFLOW,14844.19,2024-09-23
3000446,100090,200092,OUTFLOW,12993.02,2025-05-18
3000447,100061,200060,OUTFLOW,1646.03,2026-07-04
3000448,100052,200054,INFLOW,14829.36,2026-02-19
3000449,100097,200040,INFLOW,4394.51,2024-08-03
3000450,100071,200028,OUTFLOW,6640.48,2026-01-25
3000451,100067,200052,INFLOW,6371.0,2024-09-20
3000452,100077,200059,OUTFLOW,11764.51,2026-01-09
3000453,100045,200096,INFLOW,12224.9,2025-01-22
3000454,100051,200017,OUTFLOW,14012.55,2025-10-11
3000455,100056,200064,OUTFLOW,10966.73,2024-07-15
3000456,100089,200087,INFLOW,10167.85,2025-02-03
3000457,100024,200006,INFLOW,3495.77,2024-12-24
3000458,100017,200016,OUTFLOW,7005.83,2025-01-12
3000459,100034,200075,INFLOW,12524.31,2026-07-26
3000460,100017,200036,OUTFLOW,13608.85,2025-02-21
3000461,100058,200076,INFLOW,14412.41,2025-05-09
3000462,100098,200051,OUTFLOW,10653.12,2025-03-26
3000463,100077,200075,OUTFLOW,5811.91,2025-08-08
3000464,100034,200033,OUTFLOW,14672.5,2024-12-23
3000465,100056,200027,OUTFLOW,4892.24,2025-01-10
3000466,100049,200074,OUTFLOW,1523.12,2025-01-30
3000467,100008,200014,OUTFLOW,13383.96,2026-07-04
3000468,100025,200041,INFLOW,7002.86,2025-04-17
3000469,100027,200056,OUTFLOW,7518.44,2025-09-15
3000470,100079,200052,OUTFLOW,10547.15,2025-10-20
3000471,100082,200052,OUTFLOW,2832.82,2025-04-25
3000472,100080,200017,OUTFLOW,3972.81,2024-09-14
3000473,100072,200073,INFLOW,11995.64,2024-11-04
3000474,100001,200036,INFLOW,2244.94,2024-07-30
3000475,100022,200058,INFLOW,9105.63,2025-12-06
3000476,100023,200024,OUTFLOW,6940.65,2026-06-21
3000477,100087,200058,OUTFLOW,13528.98,2024-08-04
