Table_Name,Table_Description,Column_Name,Column_Datatype,Column_Constraint_Type,Column_Constraint_Condition,Column_Description,Column_Original_Precision,Column_Type,Foreign_Keys,Notes
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_STATECD,VARCHAR,NOT NULL,,Office State Code,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_POSTCD,VARCHAR,NOT NULL,,Office Postal Code,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_CNTRYCD,VARCHAR,NOT NULL,,Office Country Code,,Table Column,,
RAW_SOURCE_CLNT_PERS,Client Personal Profile,CLNT_PERS_MGRID,NUMBER,,,Client Manager ID,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_CAID,NUMBER,PRIMARY KEY,,Client Account Record ID,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_CID,NUMBER,FOREIGN KEY,,Associated Client ID,,Table Column,RAW_SOURCE_CLNT_PERS.CLNT_PERS_CID,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_ENGDT,DATE,NOT NULL,,Engagement Start Date,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_CRDAT,TIMESTAMP_NTZ,NOT NULL,,Created Timestamp,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_TDAT,DATE,,,Closed Target Date,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_STA,VARCHAR,NOT NULL,,Account Status,,Table Column,,
RAW_SOURCE_CLNT_ACC,Client Account Matrix,CLNT_ACC_TYPE,VARCHAR,NOT NULL,,Client Segment Tier,,Table Column,,
RAW_SOURCE_EMPL_ENG,Employee Project Engagement,EMPL_ENG_EAID,NUMBER,PRIMARY KEY,,Employee Engagement Link ID,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_EMPL_ENG,Employee Project Engagement,EMPL_ENG_CAID,NUMBER,PRIMARY KEY,,Client Account Engagement ID,,Table Column,RAW_SOURCE_CLNT_ACC.CLNT_ACC_CAID,
RAW_SOURCE_EMPL_ENG,Employee Project Engagement,EMPL_ENG_CONSTDAT,DATE,NOT NULL,,Consultancy Start Date,,Table Column,,
RAW_SOURCE_EMPL_ENG,Employee Project Engagement,EMPL_ENG_CONENDAT,DATE,,,Consultancy End Date,,Table Column,,
RAW_SOURCE_EMPL_ENG,Employee Project Engagement,EMPL_ENG_CLNT_MGRID,NUMBER,NOT NULL,,Client Manager Identifier,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_ID,NUMBER,PRIMARY KEY,,Timesheet Row ID,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_EAID,NUMBER,FOREIGN KEY,,Employee ID Reference,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_TRNID,VARCHAR,NOT NULL,,Transaction ID Ref,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_DAT,DATE,NOT NULL,,Timesheet Date Logged,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_WRKHRS,NUMBER,NOT NULL,,Total Hours Logged,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_BILHRS,NUMBER,NOT NULL,,Total Billable Hours,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_STATUS,VARCHAR,NOT NULL,,Approval Status,,Table Column,,
RAW_SOURCE_TMST,Timesheet Auditing Logs,TMST_ACCTYPE,VARCHAR,NOT NULL,,Account Type Flag,,Table Column,,
RAW_SOURCE_EMPL_INV,Employee Investment Ledger,EMPL_INV_EAID,NUMBER,PRIMARY KEY,,Employee Investment Link ID,,Table Column,,
RAW_SOURCE_EMPL_INV,Employee Investment Ledger,EMPL_INV_TYPE,VARCHAR,NOT NULL,,Investment Type Tier,,Table Column,,
RAW_SOURCE_EMPL_INV,Employee Investment Ledger,EMPL_INV_PCT,NUMBER,NOT NULL,,Percentage Portfolio,,Table Column,,
RAW_SOURCE_EMPL_INV,Employee Investment Ledger,EMPL_INV_TERM,NUMBER,NOT NULL,,Term in Months,,Table Column,,
RAW_SOURCE_EMPL_INV,Employee Investment Ledger,EMPL_INV_GUARAMT,NUMBER,NOT NULL,,Guaranteed Yield Value,,Table Column,,
RAW_SOURCE_EMPL_INS,Employee Corporate Insurance,EMPL_INS_EAID,NUMBER,PRIMARY KEY,,Employee Insurance Identifier,,Table Column,RAW_SOURCE_EMPL_PERS.EMPL_PERS_EID,
RAW_SOURCE_EMPL_INS,Employee Corporate Insurance,EMPL_INS_TYPE,VARCHAR,NOT NULL,,Policy Type Coverage,,Table Column,,
RAW_SOURCE_EMPL_INS,Employee Corporate Insurance,EMPL_INS_PCT,NUMBER,NOT NULL,,Premium Contribution Pct,,Table Column,,
RAW_SOURCE_EMPL_INS,Employee Corporate Insurance,EMPL_INS_COVER,NUMBER,NOT NULL,,Total Sum Insured,,Table Column,,
RAW_SOURCE_EMPL_INS,Employee Corporate Insurance,EMPL_INS_PREM,NUMBER,NOT NULL,,Gross Monthly Premium,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_ID,NUMBER,PRIMARY KEY,,Rate Agreement ID,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_TRNTYP,VARCHAR,NOT NULL,,Transaction Type Scope,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_PRICTYPE,VARCHAR,NOT NULL,,Pricing Model Type,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_UNITTYPE,VARCHAR,NOT NULL,,Unit Pricing Metric,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_VALUE,NUMBER,NOT NULL,,Base Unit Rate Value,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_STDAT,DATE,NOT NULL,,Rate Agreement Start Date,,Table Column,,
RAW_SOURCE_EMPL_BILL,Employee Billing Allocation,EMPL_BILL_ENDAT,DATE,,,Rate Agreement End Date,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_ID,NUMBER,PRIMARY KEY,,System Transaction Identifier,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_PYRAID,NUMBER,NOT NULL,,Payer Account Identifier,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_PYEAID,NUMBER,NOT NULL,,Payee Employee Identifier,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_TRNTYP,VARCHAR,NOT NULL,,Posting Category,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_TRNSTA,VARCHAR,NOT NULL,,Processing Lifecycle Status,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_TRNAMT,NUMBER,NOT NULL,,Gross Financial Transaction Value,,Table Column,,
RAW_SOURCE_OTRN,Operational Transactions Ledger,OTRN_TRNSEQ,NUMBER,NOT NULL,,Sequence Auditing Index,,Table Column,,
